id;name;terms;genus;species
Catalpa speciosa;Catalpa speciosa;Catalpa speciosa, Catalpa, speciosa;Catalpa;Catalpa speciosa
Cedrela sinensis;Cedrela sinensis;Cedrela sinensis, Cedrela, sinensis;Cedrela;Cedrela sinensis
Cedrus atlantica;Cedrus atlantica;Cedrus atlantica, Cedrus, atlantica;Cedrus;Cedrus atlantica
Cedrus deodara;Cedrus deodara;Cedrus deodara, Cedrus, deodara;Cedrus;Cedrus deodara
Cedrus libani;Cedrus libani;Cedrus libani, Cedrus, libani;Cedrus;Cedrus libani
Celtis australis;Celtis australis;Celtis australis, Celtis, australis;Celtis;Celtis australis
Celtis bungeana;Celtis bungeana;Celtis bungeana, Celtis, bungeana;Celtis;Celtis bungeana
Celtis caucasica;Celtis caucasica;Celtis caucasica, Celtis, caucasica;Celtis;Celtis caucasica
Celtis julianae;Celtis julianae;Celtis julianae, Celtis, julianae;Celtis;Celtis julianae
Celtis occidentalis;Celtis occidentalis;Celtis occidentalis, Celtis, occidentalis;Celtis;Celtis occidentalis
Celtis sinensis;Celtis sinensis;Celtis sinensis, Celtis, sinensis;Celtis;Celtis sinensis
Cercidiphyllum japonicum;Cercidiphyllum japonicum;Cercidiphyllum japonicum, Cercidiphyllum, japonicum;Cercidiphyllum;Cercidiphyllum japonicum
Cercis canadensis;Cercis canadensis;Cercis canadensis, Cercis, canadensis;Cercis;Cercis canadensis
Chionanthus retusus;Chionanthus retusus;Chionanthus retusus, Chionanthus, retusus;Chionanthus;Chionanthus retusus
Chionanthus virginicus;Chionanthus virginicus;Chionanthus virginicus, Chionanthus, virginicus;Chionanthus;Chionanthus virginicus
Chitalpa tashkentensis;Chitalpa tashkentensis;Chitalpa tashkentensis, Chitalpa, tashkentensis;Chitalpa;Chitalpa tashkentensis
Cinnamomum camphora;Cinnamomum camphora;Cinnamomum camphora, Cinnamomum, camphora;Cinnamomum;Cinnamomum camphora
Citrus trifoliata;Citrus trifoliata;Citrus trifoliata, Citrus, trifoliata;Citrus;Citrus trifoliata
Cladrastis kentukea;Cladrastis kentukea;Cladrastis kentukea, Cladrastis, kentukea;Cladrastis;Cladrastis kentukea
Cornus controversa;Cornus controversa;Cornus controversa, Cornus, controversa;Cornus;Cornus controversa
Cornus mas;Cornus mas;Cornus mas, Cornus, mas;Cornus;Cornus mas
Corylus avellana;Corylus avellana;Corylus avellana, Corylus, avellana;Corylus;Corylus avellana
Corylus colurna;Corylus colurna;Corylus colurna, Corylus, colurna;Corylus;Corylus colurna
Crataegus azarolus;Crataegus azarolus;Crataegus azarolus, Crataegus, azarolus;Crataegus;Crataegus azarolus
Crataegus laevigata;Crataegus laevigata;Crataegus laevigata, Crataegus, laevigata;Crataegus;Crataegus laevigata
Crataegus monogyna;Crataegus monogyna;Crataegus monogyna, Crataegus, monogyna;Crataegus;Crataegus monogyna
Crataegus ×lavalleei;Crataegus ×lavalleei;Crataegus ×lavalleei, Crataegus, ×lavalleei;Crataegus;Crataegus ×lavalleei
Cupressus cashmeriana;Cupressus cashmeriana;Cupressus cashmeriana, Cupressus, cashmeriana;Cupressus;Cupressus cashmeriana
Cupressus sempervirens;Cupressus sempervirens;Cupressus sempervirens, Cupressus, sempervirens;Cupressus;Cupressus sempervirens
Cydonia oblonga;Cydonia oblonga;Cydonia oblonga, Cydonia, oblonga;Cydonia;Cydonia oblonga
Davidia involucrata;Davidia involucrata;Davidia involucrata, Davidia, involucrata;Davidia;Davidia involucrata
Diospyros kaki;Diospyros kaki;Diospyros kaki, Diospyros, kaki;Diospyros;Diospyros kaki
Diospyros lotus;Diospyros lotus;Diospyros lotus, Diospyros, lotus;Diospyros;Diospyros lotus
Diospyros virginiana;Diospyros virginiana;Diospyros virginiana, Diospyros, virginiana;Diospyros;Diospyros virginiana
Euodia acuminata;Euodia acuminata;Euodia acuminata, Euodia, acuminata;Euodia;Euodia acuminata
Ehretia dicksonii;Ehretia dicksonii;Ehretia dicksonii, Ehretia, dicksonii;Ehretia;Ehretia dicksonii
Elaeagnus angustifolia;Elaeagnus angustifolia;Elaeagnus angustifolia, Elaeagnus, angustifolia;Elaeagnus;Elaeagnus angustifolia
Eriobotrya deflexa;Eriobotrya deflexa;Eriobotrya deflexa, Eriobotrya, deflexa;Eriobotrya;Eriobotrya deflexa
Eucalyptus niphophila;Eucalyptus niphophila;Eucalyptus niphophila, Eucalyptus, niphophila;Eucalyptus;Eucalyptus niphophila
Eucommia ulmoides;Eucommia ulmoides;Eucommia ulmoides, Eucommia, ulmoides;Eucommia;Eucommia ulmoides
Fagus crenata;Fagus crenata;Fagus crenata, Fagus, crenata;Fagus;Fagus crenata
Fagus grandifolia;Fagus grandifolia;Fagus grandifolia, Fagus, grandifolia;Fagus;Fagus grandifolia
Fagus japonica;Fagus japonica;Fagus japonica, Fagus, japonica;Fagus;Fagus japonica
Fagus orientalis;Fagus orientalis;Fagus orientalis, Fagus, orientalis;Fagus;Fagus orientalis
Fagus sylvatica;Fagus sylvatica;Fagus sylvatica, Fagus, sylvatica;Fagus;Fagus sylvatica
Ficus carica;Ficus carica;Ficus carica, Ficus, carica;Ficus;Ficus carica
Firmiana simplex;Firmiana simplex;Firmiana simplex, Firmiana, simplex;Firmiana;Firmiana simplex
Fontanesia phillyraeoides;Fontanesia phillyraeoides;Fontanesia phillyraeoides, Fontanesia, phillyraeoides;Fontanesia;Fontanesia phillyraeoides
Fraxinus americana;Fraxinus americana;Fraxinus americana, Fraxinus, americana;Fraxinus;Fraxinus americana
Fraxinus angustifolia;Fraxinus angustifolia;Fraxinus angustifolia, Fraxinus, angustifolia;Fraxinus;Fraxinus angustifolia
Fraxinus excelsior;Fraxinus excelsior;Fraxinus excelsior, Fraxinus, excelsior;Fraxinus;Fraxinus excelsior
Fraxinus mandshurica;Fraxinus mandshurica;Fraxinus mandshurica, Fraxinus, mandshurica;Fraxinus;Fraxinus mandshurica
Fraxinus ornus;Fraxinus ornus;Fraxinus ornus, Fraxinus, ornus;Fraxinus;Fraxinus ornus
Fraxinus sieboldiana;Fraxinus sieboldiana;Fraxinus sieboldiana, Fraxinus, sieboldiana;Fraxinus;Fraxinus sieboldiana
Fraxinus velutina;Fraxinus velutina;Fraxinus velutina, Fraxinus, velutina;Fraxinus;Fraxinus velutina
Ginkgo biloba;Ginkgo biloba;Ginkgo biloba, Ginkgo, biloba;Ginkgo;Ginkgo biloba
Gleditsia triacanthos;Gleditsia triacanthos;Gleditsia triacanthos, Gleditsia, triacanthos;Gleditsia;Gleditsia triacanthos
Grevillea robusta;Grevillea robusta;Grevillea robusta, Grevillea, robusta;Grevillea;Grevillea robusta
Gymnocladus dioica;Gymnocladus dioica;Gymnocladus dioica, Gymnocladus, dioica;Gymnocladus;Gymnocladus dioica
Halesia carolina;Halesia carolina;Halesia carolina, Halesia, carolina;Halesia;Halesia carolina
Halesia monticola;Halesia monticola;Halesia monticola, Halesia, monticola;Halesia;Halesia monticola
Heptacodium miconioides;Heptacodium miconioides;Heptacodium miconioides, Heptacodium, miconioides;Heptacodium;Heptacodium miconioides
Hibiscus syriacus;Hibiscus syriacus;Hibiscus syriacus, Hibiscus, syriacus;Hibiscus;Hibiscus syriacus
Hippophae rhamnoides;Hippophae rhamnoides;Hippophae rhamnoides, Hippophae, rhamnoides;Hippophae;Hippophae rhamnoides
Idesia polycarpa;Idesia polycarpa;Idesia polycarpa, Idesia, polycarpa;Idesia;Idesia polycarpa
Ilex aquifolium;Ilex aquifolium;Ilex aquifolium, Ilex, aquifolium;Ilex;Ilex aquifolium
Ilex castaneifolium;Ilex castaneifolium;Ilex castaneifolium, Ilex, castaneifolium;Ilex;Ilex castaneifolium
Juglans regia;Juglans regia;Juglans regia, Juglans, regia;Juglans;Juglans regia
Koelreuteria bipinnata;Koelreuteria bipinnata;Koelreuteria bipinnata, Koelreuteria, bipinnata;Koelreuteria;Koelreuteria bipinnata
Koelreuteria paniculata;Koelreuteria paniculata;Koelreuteria paniculata, Koelreuteria, paniculata;Koelreuteria;Koelreuteria paniculata
Lagerstroemia indica;Lagerstroemia indica;Lagerstroemia indica, Lagerstroemia, indica;Lagerstroemia;Lagerstroemia indica
Larix decidua;Larix decidua;Larix decidua, Larix, decidua;Larix;Larix decidua
Laurus nobilis;Laurus nobilis;Laurus nobilis, Laurus, nobilis;Laurus;Laurus nobilis
Ligustrum ibota;Ligustrum ibota;Ligustrum ibota, Ligustrum, ibota;Ligustrum;Ligustrum ibota
Ligustrum vulgare;Ligustrum vulgare;Ligustrum vulgare, Ligustrum, vulgare;Ligustrum;Ligustrum vulgare
Liquidambar formosana;Liquidambar formosana;Liquidambar formosana, Liquidambar, formosana;Liquidambar;Liquidambar formosana
Liquidambar orientalis;Liquidambar orientalis;Liquidambar orientalis, Liquidambar, orientalis;Liquidambar;Liquidambar orientalis
Liquidambar styraciflua;Liquidambar styraciflua;Liquidambar styraciflua, Liquidambar, styraciflua;Liquidambar;Liquidambar styraciflua
Liriodendron chinense;Liriodendron chinense;Liriodendron chinense, Liriodendron, chinense;Liriodendron;Liriodendron chinense
Liriodendron tulipifera;Liriodendron tulipifera;Liriodendron tulipifera, Liriodendron, tulipifera;Liriodendron;Liriodendron tulipifera
Maackia chinensis;Maackia chinensis;Maackia chinensis, Maackia, chinensis;Maackia;Maackia chinensis
Maclura pomifera;Maclura pomifera;Maclura pomifera, Maclura, pomifera;Maclura;Maclura pomifera
Magnolia acuminata;Magnolia acuminata;Magnolia acuminata, Magnolia, acuminata;Magnolia;Magnolia acuminata
Magnolia grandiflora;Magnolia grandiflora;Magnolia grandiflora, Magnolia, grandiflora;Magnolia;Magnolia grandiflora
Magnolia kobus;Magnolia kobus;Magnolia kobus, Magnolia, kobus;Magnolia;Magnolia kobus
Magnolia ×soulangeana;Magnolia ×soulangeana;Magnolia ×soulangeana, Magnolia, ×soulangeana;Magnolia;Magnolia ×soulangeana
Malus domestica;Malus domestica;Malus domestica, Malus, domestica;Malus;Malus domestica
Malus × floribunda;Malus × floribunda;Malus × floribunda, Malus, ×;Malus;Malus × floribunda
Malus spectabilis;Malus spectabilis;Malus spectabilis, Malus, spectabilis;Malus;Malus spectabilis
Malus sylvestris;Malus sylvestris;Malus sylvestris, Malus, sylvestris;Malus;Malus sylvestris
Malus trilobata;Malus trilobata;Malus trilobata, Malus, trilobata;Malus;Malus trilobata
Malus tschonoskii;Malus tschonoskii;Malus tschonoskii, Malus, tschonoskii;Malus;Malus tschonoskii
Melia azedarach;Melia azedarach;Melia azedarach, Melia, azedarach;Melia;Melia azedarach
Mespilus germanica;Mespilus germanica;Mespilus germanica, Mespilus, germanica;Mespilus;Mespilus germanica
Metasequoia glibtostroboides;Metasequoia glibtostroboides;Metasequoia glibtostroboides, Metasequoia, glibtostroboides;Metasequoia;Metasequoia glibtostroboides
Metrosideros excelsa;Metrosideros excelsa;Metrosideros excelsa, Metrosideros, excelsa;Metrosideros;Metrosideros excelsa
Morus alba;Morus alba;Morus alba, Morus, alba;Morus;Morus alba
Morus australis;Morus australis;Morus australis, Morus, australis;Morus;Morus australis
Morus kagayamae;Morus kagayamae;Morus kagayamae, Morus, kagayamae;Morus;Morus kagayamae
Morus nigra;Morus nigra;Morus nigra, Morus, nigra;Morus;Morus nigra
Morus rubra;Morus rubra;Morus rubra, Morus, rubra;Morus;Morus rubra
Nyssa sylvatica;Nyssa sylvatica;Nyssa sylvatica, Nyssa, sylvatica;Nyssa;Nyssa sylvatica
Olea europaea;Olea europaea;Olea europaea, Olea, europaea;Olea;Olea europaea
Ostrya carpinifolia;Ostrya carpinifolia;Ostrya carpinifolia, Ostrya, carpinifolia;Ostrya;Ostrya carpinifolia
Ostrya virginiana;Ostrya virginiana;Ostrya virginiana, Ostrya, virginiana;Ostrya;Ostrya virginiana
Parrotia persica;Parrotia persica;Parrotia persica, Parrotia, persica;Parrotia;Parrotia persica
Paulownia tomentosa;Paulownia tomentosa;Paulownia tomentosa, Paulownia, tomentosa;Paulownia;Paulownia tomentosa
Phellodendron amurense;Phellodendron amurense;Phellodendron amurense, Phellodendron, amurense;Phellodendron;Phellodendron amurense
Photinia serratifolia;Photinia serratifolia;Photinia serratifolia, Photinia, serratifolia;Photinia;Photinia serratifolia
Picea abies;Picea abies;Picea abies, Picea, abies;Picea;Picea abies
Picea orientalis;Picea orientalis;Picea orientalis, Picea, orientalis;Picea;Picea orientalis
Pinus brutia;Pinus brutia;Pinus brutia, Pinus, brutia;Pinus;Pinus brutia
Pinus bungeana;Pinus bungeana;Pinus bungeana, Pinus, bungeana;Pinus;Pinus bungeana
Prunus griffithii;Prunus griffithii;Prunus griffithii, Prunus, griffithii;Prunus;Prunus griffithii
Pinus halepensis;Pinus halepensis;Pinus halepensis, Pinus, halepensis;Pinus;Pinus halepensis
Pinus nigra;Pinus nigra;Pinus nigra, Pinus, nigra;Pinus;Pinus nigra
Pinus parviflora;Pinus parviflora;Pinus parviflora, Pinus, parviflora;Pinus;Pinus parviflora
Pinus pinaster;Pinus pinaster;Pinus pinaster, Pinus, pinaster;Pinus;Pinus pinaster
Pinus pinea;Pinus pinea;Pinus pinea, Pinus, pinea;Pinus;Pinus pinea
Pinus ponderosa;Pinus ponderosa;Pinus ponderosa, Pinus, ponderosa;Pinus;Pinus ponderosa
Pinus strobus;Pinus strobus;Pinus strobus, Pinus, strobus;Pinus;Pinus strobus
Pinus sylvestris;Pinus sylvestris;Pinus sylvestris, Pinus, sylvestris;Pinus;Pinus sylvestris
Pinus uncinata;Pinus uncinata;Pinus uncinata, Pinus, uncinata;Pinus;Pinus uncinata
Pistacia atlantica;Pistacia atlantica;Pistacia atlantica, Pistacia, atlantica;Pistacia;Pistacia atlantica
Pistacia chinensis;Pistacia chinensis;Pistacia chinensis, Pistacia, chinensis;Pistacia;Pistacia chinensis
Pistacia lentiscus;Pistacia lentiscus;Pistacia lentiscus, Pistacia, lentiscus;Pistacia;Pistacia lentiscus
Pistacia terebinthus;Pistacia terebinthus;Pistacia terebinthus, Pistacia, terebinthus;Pistacia;Pistacia terebinthus
Platanus ×hispanica;Platanus ×hispanica;Platanus ×hispanica, Platanus, ×hispanica;Platanus;Platanus ×hispanica
Platanus orientalis;Platanus orientalis;Platanus orientalis, Platanus, orientalis;Platanus;Platanus orientalis
Populus alba;Populus alba;Populus alba, Populus, alba;Populus;Populus alba
Populus nigra;Populus nigra;Populus nigra, Populus, nigra;Populus;Populus nigra
Populus simonii;Populus simonii;Populus simonii, Populus, simonii;Populus;Populus simonii
Populus tremula;Populus tremula;Populus tremula, Populus, tremula;Populus;Populus tremula
Populus canescens;Populus canescens;Populus canescens, Populus, canescens;Populus;Populus canescens
Prunus armeniaca;Prunus armeniaca;Prunus armeniaca, Prunus, armeniaca;Prunus;Prunus armeniaca
Prunus avium;Prunus avium;Prunus avium, Prunus, avium;Prunus;Prunus avium
Prunus cerasifera;Prunus cerasifera;Prunus cerasifera, Prunus, cerasifera;Prunus;Prunus cerasifera
Prunus domestica;Prunus domestica;Prunus domestica, Prunus, domestica;Prunus;Prunus domestica
Prunus dulcis;Prunus dulcis;Prunus dulcis, Prunus, dulcis;Prunus;Prunus dulcis
Prunus incisa;Prunus incisa;Prunus incisa, Prunus, incisa;Prunus;Prunus incisa
Prunus lusitanica;Prunus lusitanica;Prunus lusitanica, Prunus, lusitanica;Prunus;Prunus lusitanica
Prunus mahaleb;Prunus mahaleb;Prunus mahaleb, Prunus, mahaleb;Prunus;Prunus mahaleb
Prunus padus;Prunus padus;Prunus padus, Prunus, padus;Prunus;Prunus padus
Prunus persica;Prunus persica;Prunus persica, Prunus, persica;Prunus;Prunus persica
Prunus sargentii;Prunus sargentii;Prunus sargentii, Prunus, sargentii;Prunus;Prunus sargentii
Prunus serrula;Prunus serrula;Prunus serrula, Prunus, serrula;Prunus;Prunus serrula
Prunus serrulata;Prunus serrulata;Prunus serrulata, Prunus, serrulata;Prunus;Prunus serrulata
Prunus spinosa;Prunus spinosa;Prunus spinosa, Prunus, spinosa;Prunus;Prunus spinosa
Prunus ×subhirtella;Prunus ×subhirtella;Prunus ×subhirtella, Prunus, ×subhirtella;Prunus;Prunus ×subhirtella
Prunus triloba;Prunus triloba;Prunus triloba, Prunus, triloba;Prunus;Prunus triloba
Prunus ×schmittii;Prunus ×schmittii;Prunus ×schmittii, Prunus, ×schmittii;Prunus;Prunus ×schmittii
Prunus × yedoensis;Prunus × yedoensis;Prunus × yedoensis, Prunus, ×;Prunus;Prunus × yedoensis
Pseudotsuga sinensis;Pseudotsuga sinensis;Pseudotsuga sinensis, Pseudotsuga, sinensis;Pseudotsuga;Pseudotsuga sinensis
Ptelea trifoliata;Ptelea trifoliata;Ptelea trifoliata, Ptelea, trifoliata;Ptelea;Ptelea trifoliata
Pterocarya fraxinifolia;Pterocarya fraxinifolia;Pterocarya fraxinifolia, Pterocarya, fraxinifolia;Pterocarya;Pterocarya fraxinifolia
Pterocarya stenoptera;Pterocarya stenoptera;Pterocarya stenoptera, Pterocarya, stenoptera;Pterocarya;Pterocarya stenoptera
Pteroceltis tatarinowii;Pteroceltis tatarinowii;Pteroceltis tatarinowii, Pteroceltis, tatarinowii;Pteroceltis;Pteroceltis tatarinowii
Pterostyrax hispidus;Pterostyrax hispidus;Pterostyrax hispidus, Pterostyrax, hispidus;Pterostyrax;Pterostyrax hispidus
Punica granatum;Punica granatum;Punica granatum, Punica, granatum;Punica;Punica granatum
Pyrus calleryana;Pyrus calleryana;Pyrus calleryana, Pyrus, calleryana;Pyrus;Pyrus calleryana
Pyrus communis;Pyrus communis;Pyrus communis, Pyrus, communis;Pyrus;Pyrus communis
Pyrus pyrifolia;Pyrus pyrifolia;Pyrus pyrifolia, Pyrus, pyrifolia;Pyrus;Pyrus pyrifolia
Pyrus spinosa;Pyrus spinosa;Pyrus spinosa, Pyrus, spinosa;Pyrus;Pyrus spinosa
Quercus acutissima;Quercus acutissima;Quercus acutissima, Quercus, acutissima;Quercus;Quercus acutissima
Quercus afares;Quercus afares;Quercus afares, Quercus, afares;Quercus;Quercus afares
Quercus aquifolioides;Quercus aquifolioides;Quercus aquifolioides, Quercus, aquifolioides;Quercus;Quercus aquifolioides
Quercus bicolor;Quercus bicolor;Quercus bicolor, Quercus, bicolor;Quercus;Quercus bicolor
Quercus canariensis;Quercus canariensis;Quercus canariensis, Quercus, canariensis;Quercus;Quercus canariensis
Quercus castaneifolia;Quercus castaneifolia;Quercus castaneifolia, Quercus, castaneifolia;Quercus;Quercus castaneifolia
Quercus cerris;Quercus cerris;Quercus cerris, Quercus, cerris;Quercus;Quercus cerris
Quercus coccifera;Quercus coccifera;Quercus coccifera, Quercus, coccifera;Quercus;Quercus coccifera
Quercus faginea;Quercus faginea;Quercus faginea, Quercus, faginea;Quercus;Quercus faginea
Quercus falcata;Quercus falcata;Quercus falcata, Quercus, falcata;Quercus;Quercus falcata
Quercus frainetto;Quercus frainetto;Quercus frainetto, Quercus, frainetto;Quercus;Quercus frainetto
Quercus glauca;Quercus glauca;Quercus glauca, Quercus, glauca;Quercus;Quercus glauca
Quercus ilex;Quercus ilex;Quercus ilex, Quercus, ilex;Quercus;Quercus ilex
Quercus imbricaria;Quercus imbricaria;Quercus imbricaria, Quercus, imbricaria;Quercus;Quercus imbricaria
Quercus infectoria;Quercus infectoria;Quercus infectoria, Quercus, infectoria;Quercus;Quercus infectoria
Quercus ithaburensis;Quercus ithaburensis;Quercus ithaburensis, Quercus, ithaburensis;Quercus;Quercus ithaburensis
Quercus laurifolia;Quercus laurifolia;Quercus laurifolia, Quercus, laurifolia;Quercus;Quercus laurifolia
Quercus libani;Quercus libani;Quercus libani, Quercus, libani;Quercus;Quercus libani
Quercus macranthera;Quercus macranthera;Quercus macranthera, Quercus, macranthera;Quercus;Quercus macranthera
Quercus myrsinifolia;Quercus myrsinifolia;Quercus myrsinifolia, Quercus, myrsinifolia;Quercus;Quercus myrsinifolia
Quercus petraea;Quercus petraea;Quercus petraea, Quercus, petraea;Quercus;Quercus petraea
Quercus phellos;Quercus phellos;Quercus phellos, Quercus, phellos;Quercus;Quercus phellos
Quercus pubescens;Quercus pubescens;Quercus pubescens, Quercus, pubescens;Quercus;Quercus pubescens
Quercus pyrenaica;Quercus pyrenaica;Quercus pyrenaica, Quercus, pyrenaica;Quercus;Quercus pyrenaica
Quercus robur;Quercus robur;Quercus robur, Quercus, robur;Quercus;Quercus robur
Quercus rotundifolia;Quercus rotundifolia;Quercus rotundifolia, Quercus, rotundifolia;Quercus;Quercus rotundifolia
Quercus rubra;Quercus rubra;Quercus rubra, Quercus, rubra;Quercus;Quercus rubra
Quercus rysophylla;Quercus rysophylla;Quercus rysophylla, Quercus, rysophylla;Quercus;Quercus rysophylla
Quercus shumardii;Quercus shumardii;Quercus shumardii, Quercus, shumardii;Quercus;Quercus shumardii
Quercus suber;Quercus suber;Quercus suber, Quercus, suber;Quercus;Quercus suber
Quercus texana;Quercus texana;Quercus texana, Quercus, texana;Quercus;Quercus texana
Quercus trojana;Quercus trojana;Quercus trojana, Quercus, trojana;Quercus;Quercus trojana
Quercus variabilis;Quercus variabilis;Quercus variabilis, Quercus, variabilis;Quercus;Quercus variabilis
Quercus velutina;Quercus velutina;Quercus velutina, Quercus, velutina;Quercus;Quercus velutina
Quercus × hispanica;Quercus × hispanica;Quercus × hispanica, Quercus, ×;Quercus;Quercus × hispanica
